連結,⬅,累了點一下,,,,,,
,82,2023/8/18,嗯~~~我不喜歡,0:22:34.0,0:22:39.0,https://www.youtube.com/watch?v=ZDj-2F8RnBc,日常,撒嬌音
,83,2023/8/21,Line有那個Line禮物嘛(自釣),0:16:09.0,0:16:13.0,https://www.youtube.com/watch?v=598NCTulSNQ,日常,自釣
,84,2023/8/21,不要說惡靈古堡~說好不提惡靈古堡,0:18:43.0,0:18:52.0,https://www.youtube.com/watch?v=598NCTulSNQ,日常,遊戲渣女
,85,2023/8/21,熙歌開嗓中,0:28:58.0,0:29:55.0,https://www.youtube.com/watch?v=598NCTulSNQ,唱歌,開嗓
,86,2023/8/21,阿公吃飯囉!,0:37:35.0,0:37:50.0,https://www.youtube.com/watch?v=598NCTulSNQ,模仿,鸚鵡
,87,2023/8/21,阿公還錢!阿公公還錢!,0:40:09.0,0:40:17.0,https://www.youtube.com/watch?v=598NCTulSNQ,模仿,鸚鵡
,88,2023/8/21,莫忘初衷!莫忘初衷!mua初衷!,0:46:22.0,0:46:30.0,https://www.youtube.com/watch?v=598NCTulSNQ,日常,釣魚
,89,2023/8/21,可以捅屁眼何必捅頭,1:00:31.5,1:00:33.5,https://www.youtube.com/watch?v=598NCTulSNQ,暴言,
,90,2023/8/21,下次我們要打的是下面前面的眼…,1:01:20.0,1:01:27.5,https://www.youtube.com/watch?v=598NCTulSNQ,暴言,
,91,2023/8/21,就是想跟我們這些小G8聊天,1:08:30.0,1:08:43.0,https://www.youtube.com/watch?v=598NCTulSNQ,日常,
,92,2023/8/21,尊重呢?道德呢?購買連結呢?,1:10:32.0,1:10:44.0,https://www.youtube.com/watch?v=598NCTulSNQ,暴言,
,93,2023/8/21,不要!我不要~哼!我不要~(教科書般的傲嬌),1:16:31.0,1:16:36.0,https://www.youtube.com/watch?v=598NCTulSNQ,福利,傲嬌
,94,2023/8/21,梓姐身為女婚叫的頭頭,1:43:18.0,1:43:45.0,https://www.youtube.com/watch?v=598NCTulSNQ,日常,梓姐
,95,2023/8/21,真正的兄弟就是會在你需要的時候…,1:58:52.0,1:58:59.0,https://www.youtube.com/watch?v=598NCTulSNQ,暴言,Gayge
,96,2023/8/21,如果我的聲音是這樣 你還會愛我嗎,2:12:17.5,2:12:24.5,https://www.youtube.com/watch?v=598NCTulSNQ,模仿,宅男音
,97,2023/8/21,蠟筆小熙,2:12:58.0,2:13:11.5,https://www.youtube.com/watch?v=598NCTulSNQ,模仿,熙之助
,98,2023/8/23,笑得超開心(笑聲收集),0:56:26.0,0:57:02.0,https://www.youtube.com/watch?v=poQFISEwYtQ,笑聲,
,99,2023/8/23,笨蛋!變態!囉嗦!不理你了!,1:07:07.5,1:07:10.0,https://www.youtube.com/watch?v=poQFISEwYtQ,福利,罵倒
,100,2023/8/23,笨蛋!變態!囉嗦!不理你了!(AI版),1:08:06.0,1:08:15.0,https://www.youtube.com/watch?v=poQFISEwYtQ,模仿,AI
,101,2023/8/23,哎呀~被你發現我是AI了,1:09:03.0,1:09:18.8,https://www.youtube.com/watch?v=poQFISEwYtQ,模仿,AI
,102,2023/8/23,阿洛夫要結婚了?!!,1:25:40.0,1:26:17.0,https://www.youtube.com/watch?v=poQFISEwYtQ,日常,造謠
,103,2023/8/23,這種不是都一條龍服務嗎(自釣),1:28:54.0,1:28:59.0,https://www.youtube.com/watch?v=poQFISEwYtQ,日常,自釣
,104,2023/8/23,啊~~~Deadge Deadge Deadge,1:29:18.5,1:29:25.0,https://www.youtube.com/watch?v=poQFISEwYtQ,叫聲,
,105,2023/8/23,我們要加碼加碼(尾牙主持),1:32:37.0,1:32:56.0,https://www.youtube.com/watch?v=poQFISEwYtQ,模仿,尾牙
,106,2023/8/23,會吧?你們不會喔?你們的人生怎麼這麼無趣啊!,1:34:18.2,1:34:22.2,https://www.youtube.com/watch?v=poQFISEwYtQ,暴言,蛤
,107,2023/8/23,手手跟腳腳食指緊扣 會有一種很溫暖的感覺,1:34:25.0,1:34:29.0,https://www.youtube.com/watch?v=poQFISEwYtQ,暴言,
,108,2023/8/23,它很香好嗎!我的腳腳是香的!我的香腳腳~,1:36:51.3,1:36:56.0,https://www.youtube.com/watch?v=poQFISEwYtQ,暴言,
,109,2023/8/23,叭客氣~叭客氣~,1:40:07.0,1:40:09.0,https://www.youtube.com/watch?v=poQFISEwYtQ,日常,
,110,2023/8/23,掃我背後的QR CODE 成為婚叫的一份子吧,1:52:55.5,1:53:08.1,https://www.youtube.com/watch?v=poQFISEwYtQ,日常,推廣
,111,2023/8/23,哈哈哈哈哈~心肌拉奈(這溫度差www),1:55:00.3,1:55:07.0,https://www.youtube.com/watch?v=poQFISEwYtQ,笑聲,溫度差
,112,2023/8/24,齁~齁~ 蛤蛤蛤?!!!,2:14:32.0,2:14:37.0,https://www.youtube.com/watch?v=GELv6mlOjgI,怪聲音,豬叫
,113,2023/8/24,毛胚屋?!可是不是大坪數的才會是毛胚屋嗎(自釣),0:30:27.0,0:30:32.0,https://www.youtube.com/watch?v=GELv6mlOjgI,日常,自釣
,114,2023/8/24,啊~~~~我就剛睡醒!很容易自釣齁!啊~~~,0:34:36.0,0:34:42.0,https://www.youtube.com/watch?v=GELv6mlOjgI,叫聲,
,115,2023/8/25,啊~~~~我過了~~~~啊~~~~~~,3:09:03.0,3:09:18.2,https://www.youtube.com/watch?v=BSE14XLYKi8,叫聲,
,116,2023/8/25,你們有吃過吉屯屋嗎?(自釣),0:58:04.0,0:58:06.0,https://www.youtube.com/watch?v=_eX1YlicjP0,日常,自釣
,117,2023/8/25,齁呦! 就沒有注意到!啊~~~~!,0:58:21.0,0:58:26.0,https://www.youtube.com/watch?v=_eX1YlicjP0,叫聲,
,118,2023/8/25,哈啾!哈啾! Shit!,1:00:54.0,1:00:57.0,https://www.youtube.com/watch?v=_eX1YlicjP0,噴嚏,
,119,2023/8/26,啊!我要贏了!我要贏了!啊~~~~~~~我贏了!,1:48:47.0,1:49:00.5,https://www.youtube.com/watch?v=iXqXriaEfO4,叫聲,
,120,2023/8/27,我要躁起來了!你飛個屁啊!,2:32:23.5,2:32:28.0,https://www.youtube.com/watch?v=kitv4ImnJi4,日常,躁
,121,2023/8/27,啊~(破音) 差一點點!!!,2:37:40.0,2:38:09.0,https://www.youtube.com/watch?v=kitv4ImnJi4,叫聲,
,122,2023/9/1,咩~錯! 我們只是想讓每一款遊戲多一個玩家~,0:41:30.0,0:41:34.5,https://www.youtube.com/watch?v=5rU4ur54dNA,日常,遊戲渣女
,123,2023/9/1,只是想要跟每個主播都有那麼一點關係~,1:55:51.0,1:56:07.5,https://www.youtube.com/watch?v=5rU4ur54dNA,暴言,渣
,124,2023/9/4,不要再吃了 再吃下去會被殺掉的,0:55:12.0,0:55:15.2,https://www.youtube.com/watch?v=P3VR4Z9qHOg,日常,迷因
,125,2023/9/4,年輕一點的時候 可能就會像涅默那樣吧,1:00:09.0,1:00:14.0,https://www.youtube.com/watch?v=P3VR4Z9qHOg,日常,老
,126,2023/9/4,沒有我甚麼都沒說 我現在還是很年輕,1:00:24.0,1:00:34.5,https://www.youtube.com/watch?v=P3VR4Z9qHOg,日常,找補
,127,2023/9/4,感謝您~~~哈哈哈,1:12:30.0,1:12:33.0,https://www.youtube.com/watch?v=P3VR4Z9qHOg,模仿,
,128,2023/9/4,一大串八點檔台語台詞 有說挖係哩某,1:13:31.0,1:13:56.0,https://www.youtube.com/watch?v=P3VR4Z9qHOg,日常,台語
,129,2023/9/4,我不敢相信 咕嚕,1:14:05.0,1:14:09.0,https://www.youtube.com/watch?v=P3VR4Z9qHOg,模仿,
,130,2023/9/6,胃痛版本-生日快樂-未開嗓,0:09:07.0,0:09:34.0,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,唱歌,胃痛生日
,131,2023/9/6,拍自己的大腿拍到痛的歌,0:10:21.0,0:10:40.0,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,日常,拍大腿
,132,2023/9/6,無處安放的小手手~~~拍腿/手?唱歌,0:11:28.0,0:11:35.0,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,唱歌,拍大腿
,133,2023/9/6,清唱真珠美人魚,1:02:06.5,1:02:32.5,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,唱歌,清唱
,134,2023/9/6,如果沒有大杯的話 怎麼會有中杯呢,1:16:43.0,1:16:55.0,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,模仿,大杯
,135,2023/9/6,胃痛版本-生日快樂-開嗓+音效,1:19:04.0,1:19:32.0,https://www.youtube.com/watch?v=5Bq0hYtn8iQ,唱歌,胃痛生日
,136,2023/9/12,笑聲蒐集,0:42:02.0,0:42:08.0,https://www.youtube.com/watch?v=yV_H1WftQi4,笑聲,
,137,2023/9/12,米奇妙妙屋,0:48:07.6,0:48:24.0,https://www.youtube.com/watch?v=yV_H1WftQi4,模仿,米奇
,138,2023/9/15,女生可以不穿褲子???,0:40:35.5,0:40:52.5,https://www.youtube.com/watch?v=VZcdthAw8vI,暴言,
,139,2023/9/15,我哪有爛尾 五馬吾馬…(送5MA),0:45:58.5,0:46:05.0,https://www.youtube.com/watch?v=VZcdthAw8vI,福利,傲嬌
,140,2023/9/15,我沒有啊!我哪有(又傲嬌),0:48:02.5,0:48:10.0,https://www.youtube.com/watch?v=VZcdthAw8vI,福利,傲嬌
,141,2023/9/15,我們窮學生的小小夢想 讓每個Vtuber都實裝一個抱抱,0:50:56.5,0:51:10.4,https://www.youtube.com/watch?v=VZcdthAw8vI,模仿,漁翁
,142,2023/9/15,一號!!你是一號嗎?!!!(小埃模仿),0:52:42.5,0:52:52.4,https://www.youtube.com/watch?v=VZcdthAw8vI,模仿,一號!!!
,143,2023/9/15,福利影像,0:53:51.7,0:54:31.2,https://www.youtube.com/watch?v=VZcdthAw8vI,影像,用看的
,144,2023/9/15,胸部很精緻…(到底甚麼時候會用到?),0:56:18.5,0:56:32.0,https://www.youtube.com/watch?v=VZcdthAw8vI,暴言,精緻
,145,2023/9/15,哈哈哈哈 不要隨便說精緻(笑聲蒐集),0:56:39.5,0:57:00.5,https://www.youtube.com/watch?v=VZcdthAw8vI,笑聲,
,146,2023/9/15,我張不開! 眼皮黏住!阿~~~~~,0:59:18.5,0:59:23.5,https://www.youtube.com/watch?v=VZcdthAw8vI,叫聲,
,147,2023/9/15,我會了嗎?我會了嗎?阿~~~~(學會Wink的瞬間),1:02:59.0,1:03:06.0,https://www.youtube.com/watch?v=VZcdthAw8vI,叫聲,
,148,2023/9/15,我可以時裝一些火眼ㄐㄐ…不是(嘴ㄆㄧㄚˊ),1:08:09.5,1:08:19.0,https://www.youtube.com/watch?v=VZcdthAw8vI,暴言,嘴ㄆㄧㄚˊ
,149,2023/9/15,我褲子都脫了 你就給我看這個!!!,1:54:53.5,1:55:00.5,https://www.youtube.com/watch?v=VZcdthAw8vI,暴言,
,150,2023/9/15,熙歌的觀眾叫甚麼?ㄌㄐ..喔~婚叫(模仿平平子),1:56:20.0,1:56:29.5,https://www.youtube.com/watch?v=VZcdthAw8vI,模仿,平平子
,151,2023/9/15,熙歌學鬼叫(怪聲音) 阿!沒有放到臉,2:16:08.0,2:16:27.0,https://www.youtube.com/watch?v=VZcdthAw8vI,怪聲音,
,152,2023/9/15,討厭啦!討厭啦!討厭啦!不玩了啦!,2:16:35.2,2:16:42.3,https://www.youtube.com/watch?v=VZcdthAw8vI,日常,撒嬌音
,153,2023/9/15,王熙歌就像剛出生的小鹿一樣清純?,2:21:59.8,2:22:18.0,https://www.youtube.com/watch?v=VZcdthAw8vI,日常,蛤
,154,2023/9/15,你們會加冷筍?你們不會加冷筍? 嗚嗚嗚~不就這樣嗎,2:24:16.0,2:24:24.0,https://www.youtube.com/watch?v=VZcdthAw8vI,暴言,
,155,2023/9/15,你是小學男生嗎? 聽到大便就呵呵! 噗~火眼ㄐㄐ 哈哈哈,2:25:54.0,2:26:11.0,https://www.youtube.com/watch?v=VZcdthAw8vI,笑聲,
,156,2023/9/16,你們是有甚麼毛病?嘖!煩捏!(貼麥),1:07:32.0,1:07:41.2,https://www.youtube.com/watch?v=GrC7Zuxvou8,福利,傲嬌
,157,2023/9/16,這個是咋舌的聲音 怎麼好像在發福利 我後悔了,1:07:42.5,1:07:56.0,https://www.youtube.com/watch?v=GrC7Zuxvou8,怪聲音,咋舌
,158,2023/9/16,吼~你們很煩!我是在咋舌不是在 阿~~~~~~,1:08:44.0,1:08:53.0,https://www.youtube.com/watch?v=GrC7Zuxvou8,叫聲,
,159,2023/9/16,你們這些小混蛋!不要亂講話!切!,1:28:23.5,1:28:29.0,https://www.youtube.com/watch?v=GrC7Zuxvou8,福利,貼麥
,160,2023/9/18,小黑屋馬(薩摩耶釣魚成功),2:20:35.0,2:20:52.5,https://www.youtube.com/watch?v=z0I8YHB5EYs,日常,釣魚
,161,2023/9/18,啊~~~啊~~~~我每次都這樣!,2:21:09.9,2:21:15.5,https://www.youtube.com/watch?v=z0I8YHB5EYs,叫聲,
,162,2023/9/18,討厭!,0:34:48.0,0:34:49.5,https://www.youtube.com/watch?v=0JnVy8MLtYY,日常,傲嬌
,163,2023/9/19,沒有這個ㄨˇ嗎? (自釣),0:54:26.0,0:54:34.0,https://www.youtube.com/watch?v=4IQDHGGOIso,日常,自釣
,164,2023/9/20,我有多斜 看我的瀏海就知道我有多斜 我就斜咖,1:55:43.0,1:55:50.0,https://www.youtube.com/watch?v=R45wa5sIyWQ,日常,迷惑
,165,2023/9/20,被黃色笑話逗樂的國小男生歌,1:55:53.0,1:56:53.0,https://www.youtube.com/watch?v=R45wa5sIyWQ,笑聲,
,166,2023/9/21,我可以殺平民嗎? 哇!!!!!!,1:48:48.5,1:48:51.0,https://www.youtube.com/watch?v=fJ63oisonLM,叫聲,
,167,2023/9/21,有人在打我啦!,1:51:54.7,1:51:56.5,https://www.youtube.com/watch?v=fJ63oisonLM,日常,躁
,168,2023/10/1,燒香拜拜 積積陰德 積積陰德,1:14:27.6,1:14:31.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,暴言,
,169,2023/10/1,粛聖!! ロリ神レクイエム☆ / しぐれうい,1:43:12.0,1:43:24.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,唱歌,
,170,2023/10/1,雜魚!,1:43:50.0,1:43:54.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,福利,罵倒
,171,2023/10/1,羽衣 逼!!!!!,1:45:34.0,1:45:46.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,福利,
,172,2023/10/1,御姊音，用不到，但捨不得,1:45:47.0,1:46:03.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,福利,御姊音
,173,2023/10/1,Ahoy~(清唱一段),1:49:26.0,1:50:35.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,唱歌,
,174,2023/10/1,Ahoy~Ahoy~Ahoy~(口號),1:50:38.0,1:50:45.0,https://www.youtube.com/watch?v=b2KkDS9x5KE,唱歌,
,175,2023/10/2,月初時在幹甚麼?領薪水了嗎?可以來斗內嗎,2:00:39.0,2:00:43.0,https://www.youtube.com/watch?v=_tBi5a5a2BQ,日常,迷惑
