連結,⬅,累了點一下,,,,,,
,14,2024/04/01,叭叭叭叭叭~~,00:07:19,00:07:22,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,怪聲音,
,15,2024/04/01,嘿嘿嘿~這個是真的還是假的呢~~,00:07:48,00:07:55,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,16,2024/04/01,禮貌呢你們這些人,00:08:55,00:08:57,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,17,2024/04/01,黛玉~黛玉~寶玉哥哥~噁...,00:15:19,00:15:29,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,模仿,
,18,2024/04/01,你們有一腿？,00:22:57,00:22:59,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,暴言,
,19,2024/04/01,返祖歌猴叫,00:25:31,00:25:34,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,怪聲音,
,20,2024/04/01,我會戴手銬的,00:38:54,00:38:59,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,21,2024/04/01,別吹了各位,00:51:09,00:51:15,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,22,2024/04/01,啊啊啊啊啊欸欸咿咿嗚嗚哇啊對不起,01:03:00,01:03:04,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,叫聲,
,23,2024/04/01,世界第一快打公主殿下,01:08:44,01:08:53,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,唱歌,
,24,2024/04/01,怪聲,01:09:17,01:09:23,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,怪聲音,
,25,2024/04/01,我的反應滿快的，可能是因為還年輕吧,01:11:42,01:11:47,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,26,2024/04/01,悲鳴,01:16:04,01:16:13,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,叫聲,
,27,2024/04/01,昇龍餃子真的有ki秋...,01:28:06,01:28:12,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,暴言,
,28,2024/04/01,超爽ㄉ~~撿到30塊咧~~,01:41:00,01:41:04,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,模仿,
,29,2024/04/01,好希望可以被誤刷一塊金磚喔~~,01:41:37,01:41:50,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,30,2024/04/01,你們可以不相信王熙歌的真心，但你們一定要相信，這世界上最希望你們賺大錢的人就是我,01:45:19,01:45:25,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,31,2024/04/01,我真心誠意的祝福各位，幫各位祈禱，希望大家可以賺大錢,01:45:42,01:45:48,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,32,2024/04/01,我的真心比台GG還正，比長榮還長,01:46:09,01:46:16,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,日常,
,33,2024/04/01,投資熙歌穩賺不賠，詳情請看綠界以及SC投遞說明書,01:48:39,01:48:46,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,模仿,
,34,2024/04/01,噢嗚~~~,01:56:17,01:56:18,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,怪聲音,
,35,2024/04/01,皮卡丘~~~,01:56:36,01:56:38,https://www.youtube.com/live/dtVqXxrI3GY?si=TGc0RqhJ2V4fSgso,怪聲音,
,,,,,,,,
,36,2024/04/02,Evning不是下午嗎？,00:05:29,00:05:32,https://www.youtube.com/live/URmZ_g6xyfQ?si=_Rroh3tHP1Cjs9p-,福利,
,,,,,,,,
,37,2024/04/04,熙歌今天五歲歲(熙蘿),00:05:19,00:05:22,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,38,2024/04/04,"A for apple, B for ball...(熙蘿)",00:07:38,00:07:47,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,39,2024/04/04,熙蘿PUNCH!!!(熙蘿),00:08:50,00:08:54,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,40,2024/04/04,熙蘿PUNCH!!!嘻嘻嘻嘻~~(熙蘿),00:09:37,00:09:41,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,41,2024/04/04,HENTAI!!!(熙蘿),00:10:57,00:10:59,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,42,2024/04/04,誰是你老婆小心喔(熙蘿),00:16:57,00:17:01,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,43,2024/04/04,卡...(本音露出),00:17:10,00:17:11,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,44,2024/04/04,咳咳咳...被糖果嗆到(熙蘿),00:17:11,00:17:15,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,45,2024/04/04,熙蘿在班上可是跟閃光拳一樣閃光的存在(熙蘿),00:17:32,00:17:41,https://www.youtube.com/live/GGxfG_BWvnk?si=yfHxW06NDO96evEs,分靈體,
,,,,,,,,
,46,2024/04/05,很可愛啊!!!哪裡不可愛??,03:55:34,03:55:47,https://www.youtube.com/live/n4phFA8D9Do?si=Gzg_v9M9wldvsxMt,日常,
,47,2024/04/05,我真的是...啊...pra...我不知道,05:45:40,05:45:44,https://www.youtube.com/live/n4phFA8D9Do?si=Gzg_v9M9wldvsxMt,日常,
,,,,,,,,
,48,2024/04/07,UK~~摸拉達~~UUU@*^$*@&哎唷~~摔哎唷~~88,04:01:08,04:01:14,https://www.youtube.com/live/p42a5x0EJto?si=T323lSe9hD90owIJ,怪聲音,
,49,2024/04/07,我的鬼呢,04:38:42,04:38:56,https://www.youtube.com/live/p42a5x0EJto?si=T323lSe9hD90owIJ,日常,
,50,2024/04/07,我按錯啦~~但是很有用呢~~,04:48:30,04:48:35,https://www.youtube.com/live/p42a5x0EJto?si=T323lSe9hD90owIJ,日常,
,51,2024/04/07,不要再跳了!!!CNMB,04:50:34,04:50:40,https://www.youtube.com/live/p42a5x0EJto?si=T323lSe9hD90owIJ,暴言,
,52,2024/04/07,感謝大家今天陪我坐牢~~5MA~~幹!!!,05:34:12,05:34:17,https://www.youtube.com/live/p42a5x0EJto?si=T323lSe9hD90owIJ,福利,
,,,,,,,,
,53,2024/04/08,氣質自我介紹,01:00:27,01:01:13,https://www.youtube.com/live/JQCKNSztfFg?si=3zxPUgPME5RjmKIw,日常,
,54,2024/04/08,已售完fuck you,01:43:49,01:43:51,https://www.youtube.com/live/JQCKNSztfFg?si=3zxPUgPME5RjmKIw,暴言,
,,,,,,,,
,55,2024/04/08,欸!!!!!,02:55:06,02:55:09,https://www.youtube.com/live/M9L1RxAPWJU?si=mDiTtR3eVYyDVAhg,叫聲,
,,,,,,,,
這句怕爭議的話可跳過,56,2024/04/10,黑洞~~咆嘯~~YORO你真的會死,00:25:46,00:25:50,https://www.youtube.com/live/Tm7eCwP4Xts?si=9J9BJhrBvEhSFtVv,臭人,
,,,,,,,,
,57,2024/04/12,堆餔擠>.<,04:39:43,04:39:45,https://www.youtube.com/live/_r4r4blUx14?si=C-oclMwUv14bgtRC,日常,
,58,2024/04/12,熙歌學烟花,04:39:57,04:40:07,https://www.youtube.com/live/_r4r4blUx14?si=C-oclMwUv14bgtRC,模仿,
,,,,,,,,
,59,2024/04/13,QC超級白,00:00:01,00:00:09,https://www.twitch.tv/cygxdfp/clip/EnticingImportantKangarooGrammarKing-hMheWwo5Dz8zi5Wh,分靈體,
,60,2024/04/13,我也不知道我有沒有救啊QAQ,00:00:06,00:00:12,https://www.twitch.tv/cygxdfp/clip/GlutenFreeHedonisticSaladNononoCat-gN-4l6-8Xeul9yq9,日常,
,61,,,,,,,
,62,2024/04/15,奶茶從嘴巴綠衝,01:47:44,01:47:52,https://www.youtube.com/live/B4CrS6gwIeU?si=oCeAmbOiXjVIanEG,日常,
,63,2024/04/16,RRRRRRR,00:54:27,00:54:29,https://www.youtube.com/live/CHAFhftWfvs?si=VjgvQ6ZpHMFJNLfM,叫聲,
,64,,,,,,,
,65,2024/04/19,香菇拉拉拉(ASMR),02:42:11,02:42:20,https://www.youtube.com/live/oZEokpJkr-8?si=7QerP2tzZX89LZDr,福利,
,66,2024/04/19,到底為甚麼~~今天的我~~這麼的ㄎ一ㄤ~~(ASMR),02:49:37,02:49:47,https://www.youtube.com/live/oZEokpJkr-8?si=7QerP2tzZX89LZDr,福利,
,67,2024/04/19,新婚三問(ASMR),02:49:47,02:49:53,https://www.youtube.com/live/oZEokpJkr-8?si=7QerP2tzZX89LZDr,福利,
,,,,,,,,
,68,2024/04/22,你們人最好了啦~~,01:09:48,01:10:12,https://www.youtube.com/live/MTjg3r_CpT4?si=8Eoxrq6LnDSX6GkK,日常,
,,,,,,,,
,69,2024/04/22,對不起今天要婆一點不能說老子,00:25:33,00:25:36,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,70,2024/04/22,闆闆交代今天要婆一點的啊,00:26:58,00:27:06,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,71,2024/04/22,我想念那段台詞~~RRRRRRRRR~~,00:27:10,00:27:16,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,72,2024/04/22,JOJO!!!老子不當人類啦!!!我TM要進化!!!,00:27:22,00:27:28,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,73,2024/04/22,我辜負了闆闆們的期待...,00:27:35,00:27:52,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,74,2024/04/22,我要把這個魚骨頭拔掉，臭KUSA!!!,00:43:23,00:43:27,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,75,2024/04/22,修溜KEN!!!齁呀!!!哈打!!!,00:45:45,00:45:50,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,76,2024/04/22,一代米要扛幾樓!!!,00:45:50,00:45:55,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,77,2024/04/22,修溜連怕!!!齁呀!!!,00:45:55,00:45:58,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,78,2024/04/22,太鼓達人,00:47:18,00:47:34,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,79,2024/04/22,含BORE待放,00:52:02,00:52:08,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,80,2024/04/22,天熙寶寶,00:57:45,00:57:56,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,模仿,
,81,2024/04/22,開心地哼著黑洞小曲兒,01:21:50,01:21:53,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,怪聲音,
,82,2024/04/22,你叭噗啦,01:22:50,01:22:52,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,83,2024/04/22,從今天開始，このお嬢様，會坐在任何人的頭頂上,01:28:01,01:28:10,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,84,2024/04/22,想被踩嗎？你們這群變態,01:31:28,01:31:31,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,
,85,2024/04/22,我的頭髮呢???我的瀏海呢???,01:33:20,01:33:24,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,86,2024/04/22,我的頭髮呢QAQ,01:33:50,01:34:00,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,87,2024/04/22,誰剪了我的頭髮QAQ,01:34:37,01:34:39,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,88,2024/04/22,哼~~~~~,01:34:54,01:34:56,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,怪聲音,
,89,2024/04/22,嘿嘿嘿~~~,01:40:43,01:40:45,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,90,2024/04/22,愛錢大小姐(氣音),01:44:47,01:44:50,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,91,2024/04/22,死ね,01:45:06,01:45:08,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,罵
,92,2024/04/22,不會WINK情勒,01:51:19,01:52:07,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,情勒
,93,2024/04/22,深呼熙,01:52:54,01:53:05,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,94,2024/04/22,WINK噪音,01:53:16,01:53:26,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,怪聲音,
,95,2024/04/22,地震!!!,01:53:26,01:53:28,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,96,2024/04/22,所以為甚麼WINK需要這麼用力,01:53:39,01:53:48,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,97,2024/04/22,我要召喚一個東西,01:59:33,01:59:37,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,叫聲,
,98,2024/04/22,新しいのMIC!!!,02:00:28,02:00:32,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,99,2024/04/22,喔喔好像有點FU喔~砰!!!,02:05:42,02:05:45,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,
,100,2024/04/22,還有甚麼願望想實現的，說啊,02:06:45,02:06:48,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,大小姐
,101,2024/04/22,今天心情好，我就來實現大家的願望,02:06:48,02:07:02,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,
,102,2024/04/22,還敢亂說話啊，你們這群臭DD,02:09:01,02:09:04,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,日常,罵
,103,2024/04/22,爽嗎？臭DD,02:09:10,02:09:12,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,104,2024/04/22,你們這群...豚,02:09:13,02:09:18,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,105,2024/04/22,被本大小姐的屁股坐著...爽嗎？,02:09:21,02:09:29,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,106,2024/04/22,你們的人生既然這麼的沒有價值，那就把你們變成豬吧,02:09:34,02:09:39,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,107,2024/04/22,整天就只會說，最愛熙歌甚麼的，單推熙歌甚麼的，一群騙子啊,02:09:43,02:09:51,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,108,2024/04/22,我呢...最討厭...說謊的人了,02:09:51,02:09:55,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒
,109,2024/04/22,俗話說，說謊要吞1000根針,02:09:55,02:10:04,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,罵倒?
,110,2024/04/22,我就是高貴的お嬢様,02:17:12,02:17:15,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,
,111,2024/04/22,好啦5MA,02:23:37,02:23:38,https://www.youtube.com/live/fIF4enBxwMs?si=XBF8rsnvIipU0iUh,福利,5MA
,,,,,,,,
,112,2024/04/24,尼豪，窩4尼ㄉ陪聊機器人，王熙歌,01:09:33,01:09:55,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,模仿,機器人
,113,2024/04/24,喵,01:18:12,01:18:18,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,模仿,貓
,114,2024/04/24,喵~~喵喵~~喵喵,01:20:58,01:21:00,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,唱歌,喵?
,115,2024/04/24,惡貓咆嘯,01:21:03,01:21:09,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,福利,五星ㄋㄞ
,116,2024/04/24,惡貓咆嘯,01:23:53,01:24:00,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,福利,4星ㄋㄞ
,117,2024/04/24,好抽!!!抽!!!直接抽!!!召喚!!!我沒錢了!!!!!,01:46:58,01:47:05,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,叫聲,
,118,2024/04/24,歐比的手手抽卡了,01:56:29,01:56:31,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,日常,
,119,2024/04/24,喵~~我這麼的廢~~喵~~,01:58:14,01:58:24,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,模仿,歐比
,120,2024/04/24,喔唷歐比~~你媽我的手氣好爛啊~~QAQ,01:58:24,01:58:33,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,日常,
,121,2024/04/24,太誇張了吧...,02:01:01,02:01:07,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,日常,
,122,2024/04/24,搭郎~~~好正喔~~超級好看~~,02:16:42,02:16:48,https://www.youtube.com/live/KkkFmWHxfHc?si=BOveljJ64_m65D_M,日常,
,,,,,,,,
,123,2024/04/24,有白色小雞???,02:29:48,02:29:50,https://www.youtube.com/live/66cmyHlRMAI?si=YvkSVH_s-GYWnLVg,日常,
,,,,,,,,
,124,2024/04/30,阿洛夫86生日快樂,02:29:55,02:31:34,https://www.youtube.com/live/8uROYyT2qaE?si=9049Yvczha8zMn-2,日常,阿洛夫
,,,,,,,,
,125,2024/05/03,你阿嬤!!!,01:52:15,01:52:18,https://www.youtube.com/live/V0sIob0NqlU?si=pG8oEt9mkJJrH1r2,日常,罵
,126,2024/05/03,撒嬌霸脫N連發,02:34:03,02:34:23,https://www.youtube.com/live/V0sIob0NqlU?si=pG8oEt9mkJJrH1r2,福利,撒嬌
,127,2024/05/03,撒嬌想要炮姐,02:34:24,02:34:54,https://www.youtube.com/live/V0sIob0NqlU?si=pG8oEt9mkJJrH1r2,福利,撒嬌
,128,2024/05/03,爆死到變笑欸,02:43:05,02:43:44,https://www.youtube.com/live/V0sIob0NqlU?si=pG8oEt9mkJJrH1r2,笑聲,
,,,,,,,,
,129,2024/05/26,我咬到辣椒了,02:15:37,02:15:39,https://www.youtube.com/live/nSAiXBtaqG0?si=aB6XWrymBpNwxt_a,日常,PON
,130,2024/05/26,挖~~8萬!!!!!,05:25:53,05:25:59,https://www.youtube.com/live/nSAiXBtaqG0?si=aB6XWrymBpNwxt_a,叫聲,驚喜
,,,,,,,,
,131,2024/05/31,殺了我吧(氣音),00:00:15,00:00:18,https://www.twitch.tv/cygxdfp/clip/SmellyHappyPidgeonSeemsGood-dZeW9skGUPRfjerL,笑聲,中風笑
,132,2024/05/31,我是不是甚麼時候做了對不起你的事情你要這樣子對我QAQ,00:00:00,00:00:15,https://www.twitch.tv/cygxdfp/clip/PowerfulStrangeDonutWOOP-cIYxwvB7bOYMzGvn,日常,哭哭
,133,2024/05/31,你是世界的救星，你是人類的瑰寶，你是上帝的遺產,00:00:01,00:00:08,https://www.twitch.tv/cygxdfp/clip/SparklyDarkGoblinHumbleLife-S4lPLSGgaahYQa9S,日常,
,134,2024/05/31,你超棒的林捏摸,00:00:10,00:00:13,https://www.twitch.tv/cygxdfp/clip/SparklyDarkGoblinHumbleLife-S4lPLSGgaahYQa9S,日常,誇摸摸
,135,2024/05/31,閉嘴啦!!!!!,00:00:22,00:00:23,https://www.twitch.tv/cygxdfp/clip/SparklyDarkGoblinHumbleLife-S4lPLSGgaahYQa9S,日常,罵
,,,,,,,,
,136,2024/06/06,吼唷!!!科學家!!!50%的機率你都可以沒有賽到!!!科學家!!!,00:00:13,00:00:24,https://www.twitch.tv/cygxdfp/clip/HungryCrackyClipzBrainSlug-tD_U1GtOPYw8dZsV,日常,罵
,,,,,,,,
,137,2024/06/08,醒醒!!起床囉!!,01:32:18,01:32:30,https://www.youtube.com/live/uCe3sVKXBNU?si=xan7ls4CPI55RjuV,唱歌,起床
,138,2024/06/08,起床!!起床!!起床床!!!,01:34:02,01:34:08,https://www.youtube.com/live/uCe3sVKXBNU?si=xan7ls4CPI55RjuV,唱歌,起床
,,,,,,,,
,139,2024/06/12,中風轉移,00:00:04,00:00:49,https://www.twitch.tv/cygxdfp/clip/SpikyHedonisticMooseBudStar-znNZpu9N2y5UZp66,唱歌,
,,,,,,,,
,140,2024/06/14,有洞就想督，這就是人的本性,01:32:31,01:32:34,https://www.youtube.com/live/Sh3F-8yEZ8k?si=y1npEJqQUTRCFedD,暴言,
,,,,,,,,
,141,2024/06/21,剛那誰啊???不認識啊~~,00:00:18,00:00:24,https://www.twitch.tv/cygxdfp/clip/SnappyTameMochaAMPEnergyCherry-7NA6GSByxrABlMCQ,日常,裝傻
,,,,,,,,
,142,2024/06/22,啊~~~哈~~~~又忘記要開麥了~shit,00:05:50,00:06:01,https://www.youtube.com/live/bDge7ZDIYvg?si=sLRX08HdI_SLPsmu,叫聲,可愛
,,,,,,,,
,143,2024/07/04,DJ推銷員走開,,,https://www.twitch.tv/cygxdfp/clip/HelpfulCloudyKoupreyMcaT-b4bgnwzE8ynsZC2Y,日常,
,,,,,,,,
,144,2024/07/31,我要直接在全世界的ㄉ下丟毒罐,00:00:07,00:00:10,https://www.twitch.tv/cygxdfp/clip/ArborealGloriousHumanRaccAttack-uAqMu544DjpkTE0w,暴言,嘴ㄆ一ㄚˇ
,145,2024/07/31,REN性騷擾啊!!!WC!!!告你喔!!!,00:00:02,00:00:07,https://www.twitch.tv/cygxdfp/clip/CrispyEnthusiasticMooseRickroll-dfaHueuFV6eKv2V-,日常,罵REN
,146,2024/07/31,不優質實況主!!!我要跟昆布說!!!,00:00:12,00:00:17,https://www.twitch.tv/cygxdfp/clip/CrispyEnthusiasticMooseRickroll-dfaHueuFV6eKv2V-,日常,罵REN
,,,,,,,,
,147,2024/08/30,你居然被龜狗選走了!!!,00:00:03,00:00:12,https://www.twitch.tv/cygxdfp/clip/GlutenFreeSpotlessHumanLeeroyJenkins-S58xfWBbzPeZyX-3,,
,148,2024/08/30,SWEETCAMP!!!RRRR!!!林捏摸!!!,00:00:14,00:00:22,https://www.twitch.tv/cygxdfp/clip/GlutenFreeSpotlessHumanLeeroyJenkins-S58xfWBbzPeZyX-3,,
,149,2024/08/30,破防了!!!大破!!!,00:00:23,00:00:27,https://www.twitch.tv/cygxdfp/clip/GlutenFreeSpotlessHumanLeeroyJenkins-S58xfWBbzPeZyX-3,,
,150,2024/08/30,靠腰喔!!!靠腰喔!!!靠腰喔!!!,00:00:10,00:00:17,https://www.twitch.tv/cygxdfp/clip/HappyTawdryToadDatSheffy-gYRVADJyEQixLf9P,日常,
,,,,,,,,
,151,2024/09/11,RRRRRRRRRRRRRRRRR,,,https://www.twitch.tv/cygxdfp/clip/ObliviousMagnificentPepperoniDatBoi-lOcmpI84cRd8Ff3H,叫聲,
,152,2024/09/11,我知道妳們很喜歡我!!啊哈~~~,,,https://www.twitch.tv/cygxdfp/clip/DeliciousJoyousRutabagaGrammarKing-WqJ-VEclIq9S7KK8,叫聲,
,,,,,,,,
,153,2024/09/20,車禍目擊者尖叫,,,https://www.twitch.tv/cygxdfp/clip/ShinyRelentlessRuffPupper-oXJDJbE_WIJwnO9Q,叫聲,
,,,,,,,,
,154,2024/10/11,不好意思這位客人，本店9點打烊,00:00:00,00:00:33,https://www.twitch.tv/cygxdfp/clip/AmorphousTawdryPuddingRaccAttack-Gp71lidy8NfL3DY3,日常,廣播
,,,,,,,,
,155,2024/10/16,閉嘴!!!RRRRRRR,00:00:22,00:00:27,https://www.twitch.tv/cygxdfp/clip/SuspiciousMoistGarlicAMPEnergyCherry-roQ7pWL3aKrCDuOM,叫聲,
,,,,,,,,
,156,2024/11/06,不要TAKE他的衣服破掉!!!靠杯啊!!!,00:00:09,00:00:19,https://www.twitch.tv/cygxdfp/clip/VibrantMildMonkeyTakeNRG-YLneVaV_IJJ6fM7c,日常,
